Q1,Q2,Q3,Q4,Q5,Q6
Masculin,Science de Données,4,Passion pour le domaine,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises
Feminin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,"Non, pas suffisamment",Recherche scientifique
Masculin,Sécurité Informatique,3,Opportunités de carrière,"Non, pas suffisamment",Devenir employé en grandes entreprises
Masculin,Sécurité Informatique,1,Programme de la spécialité jugé meilleur que les autres,"Non, pas du tout",Je ne sais pas encore
Feminin,Sécurité Informatique,3,Passion pour le domaine,"Non, pas suffisamment",Créer une start-up
Masculin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises
Masculin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Recherche scientifique
Masculin,Intelligence Artificielle,4,Recommandations de proches ou d'enseignants,"Oui, mais il manque certains aspects pratiques","Domaine commerciale (par exemple, vente de produits, de formations etc..)"
Masculin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,"Oui, mais il manque certains aspects pratiques",Travailler en freelance
Masculin,Intelligence Artificielle,3,Choix par défaut ou manque d'autres options,"Oui, mais il manque certains aspects pratiques",Travailler en freelance
Masculin,Science de Données,5,Programme de la spécialité jugé meilleur que les autres,"Oui, mais il manque certains aspects pratiques",Créer une start-up
Masculin,Sécurité Informatique,2,Passion pour le domaine,"Non, pas suffisamment",Recherche scientifique
Feminin,Science de Données,4,Passion pour le domaine,"Oui, complètement",Je ne sais pas encore
Masculin,Science de Données,5,Passion pour le domaine,"Oui, mais il manque certains aspects pratiques",Je ne sais pas encore
Masculin,Science de Données,4,Opportunités de carrière,"Non, pas suffisamment",Travailler en freelance
Masculin,Sécurité Informatique,4,Opportunités de carrière,"Non, pas suffisamment",Créer une start-up
Masculin,Sécurité Informatique,4,Opportunités de carrière,"Non, pas suffisamment",Travailler en freelance
Feminin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques","Domaine commerciale (par exemple, vente de produits, de formations etc..)"
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,"Non, pas suffisamment",Je ne sais pas encore
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,"Non, pas suffisamment",Je ne sais pas encore
Masculin,Science de Données,4,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises
